PiSugar I2C registers:
  0x00: 0x03 (3)
  0x01: 0x0f (15)
  0x02: 0xfc (252)
  0x03: 0x40 (64)
  0x04: 0x48 (72)
  0x05: 0x00 (0)
  0x06: 0x00 (0)
  0x07: 0x01 (1)
  0x08: 0x01 (1)
  0x09: 0x00 (0)
  0x0a: 0x05 (5)
  0x0b: 0x00 (0)
  0x0c: 0x00 (0)
  0x0d: 0x00 (0)
  0x0e: 0x00 (0)
  0x0f: 0x00 (0)
  0x10: 0x0b (11)
  0x11: 0x09 (9)
  0x12: 0x08 (8)
  0x13: 0x06 (6)
  0x14: 0x02 (2)
  0x15: 0xff (255)
  0x16: 0x19 (25)
  0x17: 0x0a (10)
  0x18: 0x69 (105)
  0x19: 0x00 (0)
  0x1a: 0xff (255)
  0x1b: 0xff (255)
  0x1c: 0x44 (68)
  0x1d: 0x00 (0)
  0x1e: 0xff (255)
  0x1f: 0xff (255)
